model,condition,accuracy,precision,recall,f1,accuracy_ci_low,accuracy_ci_high,baseline_accuracy,accuracy_drop
SVM,original,0.9685534591194969,1.0,0.9367088607594937,0.9673202614379085,0.9371069182389937,0.9937106918238994,0.9685534591194969,0.0
SVM,gaussian_noise,0.9685534591194969,1.0,0.9367088607594937,0.9673202614379085,0.9371069182389937,0.9937106918238994,0.9685534591194969,0.0
SVM,jpeg_compression,0.9685534591194969,1.0,0.9367088607594937,0.9673202614379085,0.9371069182389937,0.9937106918238994,0.9685534591194969,0.0
SVM,dpi_downsampling,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.9685534591194969,0.4716981132075472
SVM,random_crop,0.5723270440251572,0.5384615384615384,0.9746835443037974,0.6936936936936937,0.4968553459119497,0.6477987421383647,0.9685534591194969,0.39622641509433965
SVM,bit_depth_reduction,0.9685534591194969,1.0,0.9367088607594937,0.9673202614379085,0.9371069182389937,0.9937106918238994,0.9685534591194969,0.0
SGD,original,0.9937106918238994,1.0,0.9873417721518988,0.9936305732484076,0.9811320754716981,1.0,0.9937106918238994,0.0
SGD,gaussian_noise,0.9937106918238994,1.0,0.9873417721518988,0.9936305732484076,0.9811320754716981,1.0,0.9937106918238994,0.0
SGD,jpeg_compression,0.9937106918238994,1.0,0.9873417721518988,0.9936305732484076,0.9811320754716981,1.0,0.9937106918238994,0.0
SGD,dpi_downsampling,0.9559748427672956,0.9390243902439024,0.9746835443037974,0.9565217391304348,0.9245283018867925,0.9874213836477987,0.9937106918238994,0.037735849056603765
SGD,random_crop,0.4968553459119497,0.49624060150375937,0.8354430379746836,0.6226415094339622,0.42138364779874216,0.5724842767295596,0.9937106918238994,0.4968553459119497
SGD,bit_depth_reduction,0.9937106918238994,1.0,0.9873417721518988,0.9936305732484076,0.9811320754716981,1.0,0.9937106918238994,0.0
RandomForest,original,0.9874213836477987,1.0,0.9746835443037974,0.9871794871794872,0.9685534591194969,1.0,0.9874213836477987,0.0
RandomForest,gaussian_noise,0.9874213836477987,1.0,0.9746835443037974,0.9871794871794872,0.9685534591194969,1.0,0.9874213836477987,0.0
RandomForest,jpeg_compression,0.9874213836477987,1.0,0.9746835443037974,0.9871794871794872,0.9685534591194969,1.0,0.9874213836477987,0.0
RandomForest,dpi_downsampling,0.9308176100628931,0.8777777777777778,1.0,0.9349112426035503,0.8867924528301887,0.9685534591194969,0.9874213836477987,0.05660377358490565
RandomForest,random_crop,0.5031446540880503,0.5,0.9620253164556962,0.658008658008658,0.4276729559748428,0.5786163522012578,0.9874213836477987,0.48427672955974843
RandomForest,bit_depth_reduction,0.9811320754716981,1.0,0.9620253164556962,0.9806451612903225,0.9559748427672956,1.0,0.9874213836477987,0.0062893081761006275
KNN,original,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
KNN,gaussian_noise,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
KNN,jpeg_compression,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
KNN,dpi_downsampling,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
KNN,random_crop,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
KNN,bit_depth_reduction,0.4968553459119497,0.4968553459119497,1.0,0.6638655462184874,0.42138364779874216,0.5723270440251572,0.4968553459119497,0.0
